iyear,specificity,vicinity,suicide,attacktype1,targtype1,targsubtype1,guncertain1,individual,nperps,nperpcap,claimed,weapsubtype1,weaptype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property
1996,1,0,0,2,3,23,0,0,,,,5,5,4,,,,,,1
1996,1,0,0,3,3,25,0,0,,,,16,6,1,,,,,,1
1996,3,0,0,3,4,35,0,0,,,,16,6,0,,,0,,,1
1996,1,0,0,8,12,62,0,0,20,,,21,9,,,,,,,0
1996,1,0,0,2,3,23,0,0,,,,5,5,12,,,7,,,1
1996,4,0,0,3,4,35,0,0,,,,16,6,2,,,5,,,1
1996,1,0,0,2,14,84,0,0,,,,5,5,14,,,,,,1
1996,1,0,0,3,20,,1,0,,,,16,6,0,,,0,,,1
1996,4,0,0,3,20,,1,0,,,,16,6,0,,,0,,,1
1996,2,0,0,2,3,25,0,0,,,,5,5,1,,,0,,,1
1996,2,0,0,3,14,75,0,0,,,,11,6,2,,,7,,,1
1996,1,0,0,3,20,,1,0,,,,16,6,0,,,0,,,1
1996,1,0,0,3,2,15,1,0,,,,7,6,0,,,0,,,1
1996,1,0,0,1,2,15,0,0,,,,7,6,0,,,0,,,0
1996,1,0,0,1,2,15,1,0,,,,5,5,3,,,5,,,0
1996,1,0,0,3,2,19,1,0,,,,7,6,0,,,3,,,1
1996,1,0,0,3,2,19,1,0,,,,7,6,0,,,3,,,1
1996,1,0,0,3,2,19,0,0,,,,16,6,0,,,0,,,1
1996,1,0,0,3,2,19,0,0,,,,16,6,0,,,0,,,1
1996,1,0,0,3,2,19,0,0,,,,16,6,0,,,0,,,1
1996,1,0,0,3,2,19,0,0,,,,7,6,,,,,,,1
1996,1,0,0,3,8,49,0,0,,,,16,6,0,,,0,,,1
1996,1,0,0,3,3,25,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,3,25,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,3,25,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,3,25,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,3,25,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,3,25,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,3,25,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,3,25,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,3,25,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,3,25,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,2,19,0,0,,,,7,6,1,,,24,,,1
1996,1,0,0,3,2,15,0,0,,,,7,6,0,,,4,,,1
1996,1,0,0,1,2,15,0,0,,,,7,6,0,,,15,,,0
1996,1,0,0,3,1,8,0,0,,,,16,6,0,,,13,,,1
1996,4,0,0,2,2,19,0,0,,,,2,5,0,,,0,,,1
1996,4,0,0,2,2,19,0,0,,,,2,5,0,,,0,,,1
1996,4,0,0,2,2,19,0,0,,,,2,5,0,,,0,,,1
1996,4,0,0,2,2,19,0,0,,,,2,5,0,,,0,,,1
1996,1,1,0,9,14,83,0,0,,,,,13,4,,,0,,,1
1996,1,0,0,9,1,4,0,0,40,,,,13,0,,,0,,,1
1996,1,1,0,9,14,84,0,0,,,,,13,1,,,0,,,1
1996,1,1,0,9,14,84,0,0,,,,,13,1,,,0,,,1
1996,1,0,0,1,20,,0,0,,,,5,5,1,,,0,,,0
1996,1,0,0,2,14,84,0,0,,,,5,5,7,,,0,,,1
1996,1,0,0,3,3,23,0,0,,,,8,6,7,,,3,,,1
1996,1,0,0,3,1,11,0,0,,,,16,6,1,,,13,,,1
1996,3,0,0,3,2,15,0,0,,,,16,6,7,,,0,,,1
1996,1,0,0,3,2,21,0,0,,,,15,6,2,,,5,,,1
1996,1,0,0,3,1,8,0,0,,,,16,6,0,,,4,,,1
1996,1,0,0,3,14,76,0,0,,,,11,6,5,,,0,,,1
1996,1,0,0,1,3,25,0,0,,,,5,5,1,,,1,,,0
1996,1,0,0,3,1,11,0,0,,,,16,6,0,,,0,,,1
1996,1,1,0,1,2,15,0,0,,,,5,5,0,,,0,,,0
1996,1,0,0,3,4,35,0,0,,,,8,6,3,,,3,,,1
1996,1,0,0,3,4,35,0,0,,,,7,6,1,,,1,,,1
1996,1,0,0,2,3,22,0,0,20,,,5,5,14,,,0,,,1
1996,1,1,0,3,3,23,0,0,,,,8,6,2,,,3,,,1
1996,1,1,0,2,20,,0,0,,,,5,5,2,,,0,,,0
1996,3,0,0,2,14,74,0,0,,,,5,5,7,,,0,,,1
1996,1,0,0,2,14,78,0,0,,,,5,5,11,,,3,,,1
1996,1,0,0,3,14,74,0,0,,,,16,6,0,,,9,,,1
1996,1,0,0,3,4,29,0,0,,,,7,6,3,,,7,,,1
